Age,Gender,ImpComercial,ImpSomeonesHouse,ImpWhenCook,Cluster
33,1,5,5,5,4
23,1,5,4,5,4
33,1,4,4,5,4
20,1,4,4,5,4
23,1,4,2,5,2
22,1,4,2,3,2
18,1,5,4,4,0
22,1,4,3,3,2
40,1,4,3,4,2
35,1,5,5,5,4
23,0,5,4,5,1
21,1,5,4,5,4
16,1,5,5,5,4
30,1,5,5,4,4
25,1,5,4,4,0
20,1,5,5,5,4
27,1,4,5,5,4
37,1,5,5,5,4
22,1,4,5,5,4
27,1,5,5,4,4
20,1,5,4,5,4
23,1,5,4,5,4
22,1,5,4,4,0
28,1,4,3,3,2
30,1,5,5,4,4
15,1,4,4,3,0
30,1,5,4,5,4
44,1,5,4,3,3
17,1,5,4,4,0
20,0,5,5,5,1
26,1,5,4,5,4
24,1,5,5,4,4
26,1,5,4,4,0
26,1,5,4,4,0
31,1,5,2,4,0
29,1,5,5,5,4
37,1,5,5,5,4
30,1,5,4,4,0
32,1,5,4,3,0
21,1,3,4,5,2
33,1,5,4,5,4
26,0,5,4,4,1
35,1,5,5,5,4
23,1,5,5,5,4
27,1,5,4,4,0
31,1,5,4,4,0
21,1,5,5,4,4
47,1,5,3,4,3
18,1,5,4,5,4
24,0,5,4,4,1
20,1,5,4,3,0
19,1,5,3,4,0
29,0,5,4,4,1
23,1,5,4,5,4
33,1,5,4,5,4
25,1,3,3,5,2
47,1,4,3,4,3
46,1,4,3,5,3
58,1,5,5,5,3
24,1,4,4,4,0
29,1,5,5,5,4
26,1,5,5,5,4
27,1,3,3,4,2
28,1,5,5,5,4
29,1,5,4,4,0
25,1,5,4,4,0
21,1,5,4,4,0
37,1,4,4,5,3
24,1,5,5,4,4
32,1,5,4,3,0
23,0,5,4,4,1
24,1,5,5,4,4
17,1,4,3,3,2
27,1,5,3,5,0
38,1,5,4,5,3
35,1,4,4,5,4
29,1,5,4,4,0
27,1,5,4,4,0
29,1,5,4,4,0
51,1,5,5,4,3
34,1,4,4,4,0
33,1,5,5,5,4
26,1,4,3,4,2
25,1,5,4,4,0
